"","T_MAPCODE","T_BIOME","tar_sa","tar_gbf","ext_veg","ext_vegrem","ext_vegpa24","ext_vegrempa24","ext_invpa24","prp_pa_base24","ext_tar_sa","ext_tar_gbf","epl_base24","epl_nat24","ext_vegrempa_inv24","epl_nat_inv24"
"140","FFb6","Fynbos",27,30,78.0444,29.268,8.6012,6.9244,2.3876,0.11020906048352,21.071988,23.41332,"PP","PP",5.25308,"PP"
"141","FFd10","Fynbos",23,30,151.6788,29.776,61.4424,19.1852,10.7356,0.40508231868923,34.886124,45.50364,"WP","MP",11.67028,"PP"
"142","FFh9","Fynbos",23,30,563.6392,243.7668,64.3972,38.4624,19.8396,0.114252521826019,129.637016,169.09176,"PP","PP",24.57468,"PP"
"143","FFa4","Fynbos",30,30,35.8392,5.122,9.7476,1.9672,0.7888,0.271981517444586,10.75176,10.75176,"MP","PP",1.41504,"PP"
"144","FFd3","Fynbos",30,30,1009.5924,638.2968,89.226,79.9556,6.8144,0.0883782405652024,302.87772,302.87772,"PP","PP",75.18552,"PP"
"145","FFd4","Fynbos",30,30,689.0436,330.844,56.8216,46.5684,8.626,0.0824644478230405,206.71308,206.71308,"PP","PP",40.5302,"PP"
"146","FFd5","Fynbos",30,30,556.9336,88.866,12.6672,7.8896,1.1812,0.0227445426169296,167.08008,167.08008,"PP","NP",7.06276,"NP"
"147","FFf2","Fynbos",30,30,40.588,19.376,2.242,1.4112,0.168,0.0552380013797181,12.1764,12.1764,"PP","PP",1.2936,"PP"
"148","FFh11","Fynbos",30,30,12.6292,5.3668,7.456,5.0316,1.7144,0.59037785449593,3.78876,3.78876,"WP","WP",3.83152,"WP"
"149","FFh5","Fynbos",30,30,84.0044,35.8028,36.7484,25.384,6.2904,0.4374580379123,25.20132,25.20132,"WP","WP",20.98072,"MP"
"150","FFs11","Fynbos",30,30,914.2348,763.5196,707.756,680.6988,30.182,0.774151235546929,274.27044,274.27044,"WP","WP",659.5714,"WP"
"151","FFs12","Fynbos",30,30,1179.408,1049.864,137.8376,129.6976,4.5368,0.116870158588037,353.8224,353.8224,"PP","PP",126.52184,"PP"
"152","FFs9","Fynbos",30,30,219.4464,203.276,193.7516,186.0588,19.1908,0.882910815579567,65.83392,65.83392,"WP","WP",172.62524,"WP"
"153","FS10","Fynbos",36,30,322.876,305.542,146.5236,146.0596,54.6348,0.453807653712261,116.23536,96.8628,"WP","WP",107.81524,"MP"
"154","Gh1","Grassland",24,30,8370.6212,8138.5332,2323.6232,2305.136,1.1992,0.277592683324387,2008.949088,2511.18636,"WP","WP",2304.29656,"WP"
"155","Gh4","Grassland",28,30,9677.7704,9249.242,653.512,527.5244,0.3488,0.0675271238094262,2709.775712,2903.33112,"PP","PP",527.28024,"PP"
"156","Gs17","Grassland",28,30,4242.1876,4170.7988,211.8756,210.004,0.0456,0.0499448916403414,1187.812528,1272.65628,"PP","PP",209.97208,"PP"
