"","T_MAPCODE","tar_sa","tar_gbf","ext_veg","ext_vegpa18","ext_vegrempa18","ext_invpa18","prp_pa_base18","ext_tar_sa","ext_tar_gbf","epl_base18","epl_nat18","ext_vegrempa_inv18","epl_nat_inv18"
"44","FFs15",30,30,993.5776,578.0192,574.576,9.944,0.581755466306809,298.07328,298.07328,"WP","WP",567.6152,"WP"
"45","FFb2",30,30,134.5308,97.3404,96.9176,12.0088,0.723554754747612,40.35924,40.35924,"WP","WP",88.51144,"WP"
"46","FFg2",30,30,523.9892,194.0576,161.1032,38.2176,0.370346564394839,157.19676,157.19676,"WP","WP",134.35088,"MP"
"47","FRg2",26,30,951.3408,13.3996,5.338,1.6124,0.0140849630332264,247.348608,285.40224,"PP","NP",4.20932,"NP"
"48","FFg5",23,30,498.2224,9.502,3.4976,1.72,0.0190718040778576,114.591152,149.46672,"PP","NP",2.2936,"NP"
"49","FFd1",29,30,1300.9768,104.124,104.0876,0,0.0800352473618284,377.283272,390.29304,"PP","PP",104.0876,"PP"
"50","FFl1",32,30,286.9588,41.8492,40.7108,8.3592,0.145836963355018,91.826816,86.08764,"PP","PP",34.85936,"PP"
"51","FS7",36,30,46.8288,16.4552,14.7068,6.166,0.351390597239306,16.858368,14.04864,"MP","MP",10.3906,"MP"
"52","FFl2",32,30,694.2568,201.3344,199.1308,70.4544,0.289999896291977,222.162176,208.27704,"MP","MP",149.81272,"MP"
"53","FFs17",30,30,107.4468,54.7324,53.7088,6.216,0.509390693813124,32.23404,32.23404,"WP","WP",49.3576,"WP"
"54","FS9",36,30,27.99,1.3044,0.5084,0.2376,0.0466023579849946,10.0764,8.397,"PP","PP",0.34208,"NP"
"55","FFd6",30,30,88.5808,21.5932,19.9428,4.0788,0.243768401278832,26.57424,26.57424,"MP","MP",17.08764,"MP"
"56","FFf1",30,30,694.0016,40.2028,23.0684,1.2724,0.0579289730744137,208.20048,208.20048,"PP","PP",22.17772,"PP"
"57","FFg3",30,30,91.7956,34.0368,23.7324,7.6136,0.370789013852516,27.53868,27.53868,"WP","MP",18.40288,"MP"
"58","FRs10",26,30,25.2736,2.7516,1.922,0.508,0.108872499366928,6.571136,7.58208,"PP","PP",1.5664,"PP"
"59","FS1",24,30,354.2776,26.2044,21.5304,0.0224,0.0739657263117962,85.026624,106.28328,"PP","PP",21.51472,"PP"
"60","FS2",24,30,298.8244,27.7396,25.71,0.8404,0.092829099631757,71.717856,89.64732,"PP","PP",25.12172,"PP"
"61","FS3",24,30,1643.4048,78.4612,68.2084,5.9824,0.0477430758386491,394.417152,493.02144,"PP","PP",64.02072,"PP"
